Race,accuracy,selection_rate
AfricanAmerican,0.7504006410256411,0.2263621794871795
Asian,0.8217821782178217,0.18811881188118812
Caucasian,0.7042893665372597,0.2839693210870183
Hispanic,0.7566666666666667,0.24
Other,0.763265306122449,0.19591836734693877
