model,dp_diff_Race,eo_diff_Race,di_Race_AfricanAmerican,di_Race_Asian,di_Race_Hispanic,di_Race_Other,dp_diff_Gender,eo_diff_Gender,di_Gender_Female
LogisticRegression,0.08988867396215189,0.42500000000000004,0.774656202994368,0.8273850850296488,0.8932905866302865,0.7409783667900993,0.03549161965245451,0.042696952271420396,1.1141467848216315
RandomForest,0.09585050920583016,0.4125,0.7971360378673233,0.6624617446739672,0.8451617205735245,0.6899279351620607,0.04513242336426512,0.07852533384448279,1.1834098736334655
XGBoost,0.06392846461996829,0.13809067688378035,0.8385704134626548,0.7648385528207994,0.858318820387786,0.8257877863789195,0.030061606601514718,0.07454795220752669,1.1223991757279064
