Race,accuracy,selection_rate
AfricanAmerican,0.7391826923076923,0.22796474358974358
Asian,0.7821782178217822,0.2079207920792079
Caucasian,0.7124325347978411,0.2718492566991762
Hispanic,0.7566666666666667,0.23333333333333334
Other,0.7673469387755102,0.22448979591836735
